Name,Extension,EntryNumber,SequenceNumber,ParentEntryNumber,ParentSequenceNumber,ParentPath,UpdateSequenceNumber,UpdateTimestamp,UpdateReasons,FileAttributes,OffsetToData,SourceFile
yf.nisse,.nisse,64,1,5,5,,9400,2023-10-11 10:58:58.2417066,FileCreate,Archive,9400,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yf.nisse,.nisse,64,1,5,5,,9480,2023-10-11 10:58:58.2417066,DataExtend|FileCreate,Archive,9480,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yf.nisse,.nisse,64,1,5,5,,9560,2023-10-11 10:58:58.2417066,DataExtend|FileCreate|Close,Archive,9560,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vm.jul,.jul,65,1,48,1,,9640,2023-10-11 10:58:58.2427055,FileCreate,Archive,9640,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vm.jul,.jul,65,1,48,1,,9712,2023-10-11 10:58:58.2427055,DataExtend|FileCreate,Archive,9712,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vm.jul,.jul,65,1,48,1,,9784,2023-10-11 10:58:58.2437050,DataExtend|FileCreate|Close,Archive,9784,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yj.nisse,.nisse,66,1,50,1,,9856,2023-10-11 10:58:58.2447053,FileCreate,Archive,9856,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yj.nisse,.nisse,66,1,50,1,,9936,2023-10-11 10:58:58.2447053,DataExtend|FileCreate,Archive,9936,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
yj.nisse,.nisse,66,1,50,1,,10016,2023-10-11 10:58:58.2447053,DataExtend|FileCreate|Close,Archive,10016,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vw,,67,1,5,5,,10096,2023-10-11 10:58:58.2457086,FileCreate,Directory,10096,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vw,,67,1,5,5,,10160,2023-10-11 10:58:58.2457086,FileCreate|Close,Directory,10160,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ov.bob,.bob,68,1,67,1,,10224,2023-10-11 10:58:58.2457086,FileCreate,Archive,10224,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ov.bob,.bob,68,1,67,1,,10296,2023-10-11 10:58:58.2457086,DataExtend|FileCreate,Archive,10296,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ov.bob,.bob,68,1,67,1,,10368,2023-10-11 10:58:58.2467050,DataExtend|FileCreate|Close,Archive,10368,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ln.txt,.txt,69,1,61,1,,10440,2023-10-11 10:58:58.2477065,FileCreate,Archive,10440,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ln.txt,.txt,69,1,61,1,,10512,2023-10-11 10:58:58.2477065,DataExtend|FileCreate,Archive,10512,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ln.txt,.txt,69,1,61,1,,10584,2023-10-11 10:58:58.2477065,DataExtend|FileCreate|Close,Archive,10584,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
uu,,70,1,5,5,,10656,2023-10-11 10:58:58.2487305,FileCreate,Directory,10656,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
uu,,70,1,5,5,,10720,2023-10-11 10:58:58.2487305,FileCreate|Close,Directory,10720,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fy.fest,.fest,71,1,70,1,,10784,2023-10-11 10:58:58.2487305,FileCreate,Archive,10784,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fy.fest,.fest,71,1,70,1,,10864,2023-10-11 10:58:58.2487305,DataExtend|FileCreate,Archive,10864,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
fy.fest,.fest,71,1,70,1,,10944,2023-10-11 10:58:58.2497050,DataExtend|FileCreate|Close,Archive,10944,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
nn.txt,.txt,72,1,44,1,,11024,2023-10-11 10:58:58.2507044,FileCreate,Archive,11024,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
nn.txt,.txt,72,1,44,1,,11096,2023-10-11 10:58:58.2507044,DataExtend|FileCreate,Archive,11096,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
nn.txt,.txt,72,1,44,1,,11168,2023-10-11 10:58:58.2507044,DataExtend|FileCreate|Close,Archive,11168,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vw.txt,.txt,73,1,48,1,,11240,2023-10-11 10:58:58.2517042,FileCreate,Archive,11240,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vw.txt,.txt,73,1,48,1,,11312,2023-10-11 10:58:58.2517042,DataExtend|FileCreate,Archive,11312,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
vw.txt,.txt,73,1,48,1,,11384,2023-10-11 10:58:58.2527328,DataExtend|FileCreate|Close,Archive,11384,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gt,,74,1,56,1,,11456,2023-10-11 10:58:58.2527328,FileCreate,Archive,11456,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gt,,74,1,56,1,,11520,2023-10-11 10:58:58.2537050,DataExtend|FileCreate,Archive,11520,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
gt,,74,1,56,1,,11584,2023-10-11 10:58:58.2537050,DataExtend|FileCreate|Close,Archive,11584,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mu.jul,.jul,75,1,5,5,,11648,2023-10-11 10:58:58.2547049,FileCreate,Archive,11648,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mu.jul,.jul,75,1,5,5,,11720,2023-10-11 10:58:58.2547049,DataExtend|FileCreate,Archive,11720,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
mu.jul,.jul,75,1,5,5,,11792,2023-10-11 10:58:58.2547049,DataExtend|FileCreate|Close,Archive,11792,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
xi.bob,.bob,76,1,44,1,,11864,2023-10-11 10:58:58.2557049,FileCreate,Archive,11864,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
xi.bob,.bob,76,1,44,1,,11936,2023-10-11 10:58:58.2557049,DataExtend|FileCreate,Archive,11936,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
xi.bob,.bob,76,1,44,1,,12008,2023-10-11 10:58:58.2567294,DataExtend|FileCreate|Close,Archive,12008,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
ht.nisse,.nisse,77,1,5,5,,12080,2023-10-11 10:58:58.2567294,FileCreate,Archive,12080,..\htb\challenges\NC3\mount\$Extend\$UsnJrnl:$J
